trace,s,E,b,hits,misses,evictions,hit_rate,miss_rate
traces/long.trace,1,1,2,58466,228498,228496,0.20373984193139208,0.796260158068608
traces/long.trace,1,1,3,122086,164878,164876,0.4254401248937149,0.5745598751062851
traces/long.trace,1,1,4,164075,122889,122887,0.5717616146973139,0.42823838530268604
traces/long.trace,1,1,5,229613,57351,57349,0.800145662870604,0.19985433712939601
traces/long.trace,1,1,6,229623,57341,57339,0.8001805104473035,0.19981948955269652
traces/long.trace,1,2,2,128161,158803,158799,0.44661002773867103,0.5533899722613289
traces/long.trace,1,2,3,168167,118797,118793,0.586021243082756,0.41397875691724395
traces/long.trace,1,2,4,236780,50184,50180,0.8251209210911473,0.17487907890885268
traces/long.trace,1,2,5,253166,33798,33794,0.8822221602709748,0.11777783972902524
traces/long.trace,1,2,6,253171,33793,33789,0.8822395840593246,0.11776041594067549
traces/long.trace,1,3,2,136416,150548,150542,0.47537670230412177,0.5246232976958782
traces/long.trace,1,3,3,192743,94221,94215,0.6716626475794873,0.32833735242051265
traces/long.trace,1,3,4,259307,27657,27651,0.9036220571221477,0.09637794287785227
traces/long.trace,1,3,5,268525,18439,18433,0.9357445533237618,0.06425544667623813
traces/long.trace,1,3,6,268531,18433,18427,0.9357654618697816,0.06423453813021843
traces/long.trace,1,4,2,162018,124946,124938,0.5645934681702235,0.43540653182977657
traces/long.trace,1,4,3,237799,49165,49157,0.828671889156828,0.17132811084317195
traces/long.trace,1,4,4,266475,20489,20481,0.9286008001003611,0.07139919989963898
traces/long.trace,1,4,5,268525,18439,18431,0.9357445533237618,0.06425544667623813
traces/long.trace,1,4,6,268531,18433,18425,0.9357654618697816,0.06423453813021843
traces/long.trace,1,5,2,215268,71696,71686,0.7501568140951478,0.2498431859048522
traces/long.trace,1,5,3,262374,24590,24580,0.9143098088958894,0.08569019110411062
traces/long.trace,1,5,4,266475,20489,20479,0.9286008001003611,0.07139919989963898
traces/long.trace,1,5,5,268525,18439,18429,0.9357445533237618,0.06425544667623813
traces/long.trace,1,5,6,269043,17921,17911,0.9375496577967968,0.06245034220320319
traces/long.trace,1,6,2,247009,39955,39943,0.8607665072970826,0.13923349270291743
traces/long.trace,1,6,3,262374,24590,24578,0.9143098088958894,0.08569019110411062
traces/long.trace,1,6,4,266475,20489,20477,0.9286008001003611,0.07139919989963898
traces/long.trace,1,6,5,268525,18439,18427,0.9357445533237618,0.06425544667623813
traces/long.trace,1,6,6,269043,17921,17909,0.9375496577967968,0.06245034220320319
traces/long.trace,1,7,2,250081,36883,36869,0.871471682859174,0.12852831714082602
traces/long.trace,1,7,3,262374,24590,24576,0.9143098088958894,0.08569019110411062
traces/long.trace,1,7,4,266475,20489,20475,0.9286008001003611,0.07139919989963898
traces/long.trace,1,7,5,268525,18439,18425,0.9357445533237618,0.06425544667623813
traces/long.trace,1,7,6,269043,17921,17907,0.9375496577967968,0.06245034220320319
traces/long.trace,1,8,2,250081,36883,36867,0.871471682859174,0.12852831714082602
traces/long.trace,1,8,3,262374,24590,24574,0.9143098088958894,0.08569019110411062
traces/long.trace,1,8,4,266475,20489,20473,0.9286008001003611,0.07139919989963898
traces/long.trace,1,8,5,268525,18439,18423,0.9357445533237618,0.06425544667623813
traces/long.trace,1,8,6,269064,17900,17884,0.9376228377078658,0.062377162292134206
traces/long.trace,2,1,2,110242,176722,176718,0.38416665505080777,0.6158333449491923
traces/long.trace,2,1,3,167142,119822,119818,0.5824493664710556,0.4175506335289444
traces/long.trace,2,1,4,234988,51976,51972,0.818876235346594,0.181123764653406
traces/long.trace,2,1,5,245229,41735,41731,0.8545636386445686,0.14543636135543134
traces/long.trace,2,1,6,245239,41725,41721,0.8545984862212682,0.14540151377873184
traces/long.trace,2,2,2,192738,94226,94218,0.6716452237911376,0.32835477620886244
traces/long.trace,2,2,3,232679,54285,54277,0.8108299298866757,0.18917007011332432
traces/long.trace,2,2,4,261099,25865,25857,0.909866742866701,0.09013325713329895
traces/long.trace,2,2,5,264685,22279,22271,0.9223630838711476,0.0776369161288524
traces/long.trace,2,2,6,264691,22273,22265,0.9223839924171673,0.07761600758283269
traces/long.trace,2,3,2,241377,45587,45575,0.841140352099915,0.15885964790008503
